id,published,title,reference
39717865,2025-03-07 00:00:00,Emerging lineages A2.2.1 and A2.2.2 of human metapneumovirus (hMPV) in pediatric respiratory infections: Insights from India.,https://pubmed.ncbi.nlm.nih.gov/39717865
39738485,2024-12-30 00:00:00,Analysis of respiratory pathogen detection in hospitalized children with acute respiratory tract infections after ending the zero COVID policy.,https://pubmed.ncbi.nlm.nih.gov/39738485
39726205,2024-12-27 00:00:00,Metapneumovirus-Induced Myocarditis Complicated by Klebsiella pneumoniae Co-Infection: A Case Report.,https://pubmed.ncbi.nlm.nih.gov/39726205
39692898,2024-12-18 00:00:00,"Burden of viral respiratory infections in the pediatric intensive care unit: age, virus distribution, and the impact of the COVID-19 pandemic.",https://pubmed.ncbi.nlm.nih.gov/39692898
39694679,2024-12-18 00:00:00,"Clinical outcomes and severity of laboratory-confirmed RSV compared with influenza, parainfluenza and human metapneumovirus in Australian children attending secondary care.",https://pubmed.ncbi.nlm.nih.gov/39694679
39292354,2024-12-07 00:00:00,"Dynamic changes in the circulation of respiratory pathogens in children during and after the containment of the 2019 coronavirus disease pandemic in Kunming, China.",https://pubmed.ncbi.nlm.nih.gov/39292354
39221771,2024-12-07 00:00:00,Molecular detection and genotyping of HMPV in patients with severe acute respiratory infection in India.,https://pubmed.ncbi.nlm.nih.gov/39221771
39701824,2024-12-07 00:00:00,Viral Acute Lower Respiratory Tract Infections (ALRI) in Rural Bangladeshi Children Prior to the COVID-19 Pandemic.,https://pubmed.ncbi.nlm.nih.gov/39701824
39657017,2024-12-05 00:00:00,Community-Acquired Respiratory Virus Infections: A Threat to Long-Term survivors after Allogeneic Stem Cell Transplant?,https://pubmed.ncbi.nlm.nih.gov/39657017
39587598,2024-11-26 00:00:00,Epidemiological characteristics of respiratory pathogens infections among children after the removal of non-pharmaceutical interventions in central China.,https://pubmed.ncbi.nlm.nih.gov/39587598
39561244,2024-11-19 00:00:00,Severe Acute Respiratory Distress Syndrome in an Adult Patient With Human Metapneumovirus Infection Successfully Managed With Veno-Venous Extracorporeal Membrane Oxygenation.,https://pubmed.ncbi.nlm.nih.gov/39561244
39412256,2024-11-19 00:00:00,Human metapneumovirus SH protein promotes JAK1 degradation to impair host IL-6 signaling.,https://pubmed.ncbi.nlm.nih.gov/39412256
39550381,2024-11-16 00:00:00,Rational design of uncleaved prefusion-closed trimer vaccines for human respiratory syncytial virus and metapneumovirus.,https://pubmed.ncbi.nlm.nih.gov/39550381
39599536,2024-11-09 00:00:00,Observational Study on the Clinical Reality of Community-Acquired Respiratory Virus Infections in Adults and Older Individuals.,https://pubmed.ncbi.nlm.nih.gov/39599536
39524165,2024-11-07 00:00:00,"Demographics, Clinical Presentation and Outcome of Metapneumovirus Infection in Adults: A Case Series Analysis at Scarborough General Hospital, United Kingdom.",https://pubmed.ncbi.nlm.nih.gov/39524165
39531249,2024-11-07 00:00:00,Viral Loads of Pneumoviruses: Correlation With Coinfection Rates and Disease Severity.,https://pubmed.ncbi.nlm.nih.gov/39531249
